product_id,title,category,price,brand,tags,image_url
B1000000,Kindle Paperwhite (11th Generation),Electronics,528.72,Kindle,electronics,
B1000001,Anker PowerCore 20000mAh Power Bank,Electronics,261.1,Anker,electronics,
B1000002,Logitech MX Master 3S Wireless Mouse,Electronics,368.93,Logitech,electronics,
B1000003,Sony WH-1000XM5 Noise Cancelling Headphones,Electronics,425.9,Sony,electronics,
B1000004,Anker PowerCore 20000mAh Power Bank,Electronics,133.59,Anker,electronics,
B1000005,Kindle Paperwhite (11th Generation),Electronics,151.79,Kindle,electronics,
B1000006,Samsung Galaxy Tab A9,Electronics,375.48,Samsung,electronics,
B1000007,Anker PowerCore 20000mAh Power Bank,Electronics,493.89,Anker,electronics,
B1000008,"Apple Watch SE (GPS, 44mm)",Electronics,525.29,Apple,electronics,
B1000009,Apple AirPods Pro (2nd Generation),Electronics,93.92,Apple,electronics,
B1000010,Sony WH-1000XM5 Noise Cancelling Headphones,Electronics,556.87,Sony,electronics,
B1000011,Apple AirPods Pro (2nd Generation),Electronics,483.19,Apple,electronics,
B1000012,Sony WH-1000XM5 Noise Cancelling Headphones,Electronics,519.66,Sony,electronics,
B1000013,Logitech MX Master 3S Wireless Mouse,Electronics,380.26,Logitech,electronics,
B1000014,"Apple Watch SE (GPS, 44mm)",Electronics,104.54,Apple,electronics,
B1000015,Logitech MX Master 3S Wireless Mouse,Electronics,204.88,Logitech,electronics,
B1000016,Logitech MX Master 3S Wireless Mouse,Electronics,538.0,Logitech,electronics,
B1000017,Logitech MX Master 3S Wireless Mouse,Electronics,272.25,Logitech,electronics,
B1000018,Bose QuietComfort Ultra Headphones,Electronics,321.7,Bose,electronics,
B1000019,JBL Charge 5 Bluetooth Speaker,Electronics,447.58,JBL,electronics,
B1000020,Sony WH-1000XM5 Noise Cancelling Headphones,Electronics,535.03,Sony,electronics,
B1000021,Bose QuietComfort Ultra Headphones,Electronics,561.15,Bose,electronics,
B1000022,JBL Charge 5 Bluetooth Speaker,Electronics,104.08,JBL,electronics,
B1000023,Anker PowerCore 20000mAh Power Bank,Electronics,318.95,Anker,electronics,
B1000024,Logitech MX Master 3S Wireless Mouse,Electronics,430.07,Logitech,electronics,
B1000025,Samsung Galaxy Tab A9,Electronics,388.01,Samsung,electronics,
B1000026,"Apple Watch SE (GPS, 44mm)",Electronics,298.66,Apple,electronics,
B1000027,JBL Charge 5 Bluetooth Speaker,Electronics,203.65,JBL,electronics,
B1000028,Sony WH-1000XM5 Noise Cancelling Headphones,Electronics,409.36,Sony,electronics,
B1000029,Apple AirPods Pro (2nd Generation),Electronics,541.57,Apple,electronics,
