user_idx,product_idx,rating
609,268,4
2757,1583,5
388,3231,5
1716,2117,5
2468,1746,5
1052,1861,4
1278,2640,4
668,4990,5
2145,2793,5
1867,904,5
935,1123,5
1477,4599,5
2993,78,5
1698,2228,4
2665,285,5
1780,2754,5
2052,262,5
2764,1200,4
391,3669,5
1638,3703,5
259,138,3
2298,4402,5
225,2536,4
2698,4866,5
795,2237,4
874,2253,4
2944,4330,3
2522,2707,3
1867,4327,5
1173,977,5
240,4599,4
1907,4052,5
946,1720,5
1395,1332,5
2026,3015,4
1815,3805,4
666,1681,4
1850,4986,4
1199,3023,5
2850,4366,5
298,2062,5
2349,4936,4
1520,352,5
1766,2283,4
263,3400,5
350,955,5
2111,778,5
1228,1591,4
268,597,5
431,127,5
2035,2869,5
842,872,4
1097,1323,5
1831,897,4
2017,334,4
2079,973,4
2288,842,5
1835,3796,5
123,4607,5
2028,1247,4
1633,2116,5
182,1100,5
1052,4638,4
1982,3424,4
871,2032,4
214,3282,5
1047,2856,3
1423,3644,5
2769,3475,4
772,3438,5
9,2420,4
2559,3811,4
964,1441,3
2112,4729,5
2622,1436,5
2052,2319,5
1177,2927,5
715,3701,4
2324,4,5
1026,2228,4
1184,2995,5
2860,2805,5
1444,1532,5
1668,4587,5
1182,3529,3
1293,4445,3
463,18,5
2691,532,4
77,2514,4
2215,2678,4
844,4747,5
1579,508,5
904,1674,5
643,2202,5
545,3440,4
2617,3698,5
1466,4829,4
119,936,4
611,3409,5
1465,851,5
4,2942,4
2116,983,5
2077,1270,4
1511,1197,5
2982,4202,3
1321,53,5
240,4975,4
2668,4914,5
215,4064,4
1257,1135,4
1754,4795,5
302,2798,5
745,1593,5
2406,929,3
671,3912,5
2819,3570,4
985,1007,5
827,3842,4
717,393,4
389,3886,5
1879,321,4
742,1017,3
1423,1639,3
1328,4652,3
454,3130,4
2056,1425,5
278,2503,5
1948,1907,4
566,3459,5
2724,2049,5
2008,2821,5
741,234,4
2212,765,3
2184,456,4
2217,857,5
881,2921,5
2265,2304,4
1187,4198,3
1846,2550,5
2225,1439,3
408,4440,4
2515,3493,5
1842,3311,5
1759,4727,5
1576,88,5
1953,2700,5
1749,4685,3
2683,1124,5
1012,4073,4
2851,1806,5
1316,3955,5
2981,1662,5
1508,1498,3
677,1068,3
2947,692,4
2,2887,5
2207,4992,4
823,4079,3
2033,3693,4
1475,4143,5
439,3526,5
933,3114,5
1104,4750,5
2743,485,5
2188,3458,3
1385,3646,3
1822,1513,4
636,3960,4
1089,3672,5
2616,2990,4
2300,393,4
345,2532,4
2166,1100,5
580,3894,4
1707,2758,4
2471,2537,5
1739,3948,5
2863,2985,5
717,1487,5
1647,3252,5
1831,3838,5
1959,1924,5
1563,3355,5
1153,32,4
2682,1076,5
2496,2932,5
872,4571,5
1605,4083,5
1550,3274,5
2088,1917,5
2328,1685,5
573,2996,5
1252,3369,5
1396,3406,5
2028,1659,3
1582,4501,3
2052,4035,5
1970,3338,3
1909,4798,4
1164,4555,5
2387,1717,5
2887,1101,3
62,393,4
2794,3026,5
584,2912,5
891,488,4
2041,4201,3
46,1114,5
961,4751,3
1384,4107,5
1042,1256,5
2158,122,5
1822,2744,5
1587,2100,4
744,505,4
2537,3453,5
1383,2563,5
1277,949,4
2807,879,5
840,311,5
2349,2693,4
137,3186,5
2666,238,5
47,4912,5
2320,1359,5
1553,2457,5
766,2379,4
2091,1197,5
90,2563,4
502,3137,4
556,2043,5
878,294,4
1202,3494,5
1288,4755,5
1061,4943,5
1962,784,4
1070,700,4
145,1159,5
177,180,5
2972,2777,5
2570,4734,5
1563,716,4
1451,1439,5
2045,2587,4
2446,4067,4
2463,1780,4
1927,2143,4
1060,2980,3
998,3292,5
2361,2014,5
867,1816,5
1978,353,5
918,1373,4
2095,2953,5
2323,2536,5
2920,4461,5
2779,3846,4
1272,2533,4
2698,169,5
2768,1616,5
251,2870,5
92,4719,5
906,1976,5
2966,3095,3
935,2256,4
2169,1861,5
1608,2411,4
1587,4743,5
2054,3870,3
2356,2065,5
1645,4791,5
1160,3619,4
1037,2906,5
2598,4753,5
253,1872,5
2378,288,4
481,4942,5
1815,828,5
792,4694,5
1838,1824,4
724,4531,3
1653,4175,5
1002,2593,5
2831,4519,3
1247,3696,5
255,2152,5
577,975,3
1063,2695,5
1047,1208,5
305,4663,5
2093,3870,5
1241,4342,4
2342,3628,3
2086,2491,5
1892,483,4
41,4068,5
272,4298,5
1780,2217,5
428,1549,3
1098,2293,5
578,1793,5
1838,3764,5
2196,2591,4
1244,4472,5
269,4725,5
1836,1144,4
554,1548,5
2959,654,4
2734,3906,4
2489,1185,5
2298,1842,4
1503,4956,5
2747,815,5
2523,4983,4
1149,4434,5
2125,3785,4
529,707,4
2811,2718,5
1034,593,3
1027,2583,5
2503,3340,5
2310,1240,3
660,2887,5
922,2787,4
2231,806,5
1747,752,5
680,4165,4
936,3433,5
1410,3567,5
531,2661,5
360,2468,4
497,3645,5
1341,4941,5
137,4519,3
2271,3276,5
1119,1665,3
182,55,5
1717,4386,4
2054,4121,5
1610,1433,5
2956,2696,4
2551,779,5
253,4945,5
2965,1203,5
47,811,5
972,4289,4
2029,246,5
2276,329,4
1239,2894,5
497,1414,4
1373,2445,5
972,2322,5
787,1969,5
1704,1295,5
1749,1515,4
1035,464,4
2412,4444,3
1422,1865,5
1893,569,4
2458,1904,5
249,1258,5
1970,68,4
1559,3037,4
1651,4826,4
2238,3664,4
1979,4464,4
2365,3487,4
2262,2828,3
769,1749,4
1768,3503,5
1193,3862,5
1335,2761,5
595,599,5
68,3640,5
2288,1992,4
1768,2250,4
669,3295,5
2119,4585,5
770,4647,4
1003,948,5
939,4962,4
2215,991,4
881,956,5
2908,2595,4
2658,3735,5
35,590,5
626,2902,4
602,177,5
1748,2774,4
24,3007,4
766,2796,5
2880,675,5
176,4663,4
783,4621,4
2132,1131,4
1879,4666,3
59,261,5
2916,241,4
1171,2787,5
321,192,4
300,4712,4
2678,2359,4
1298,2966,4
1463,4990,4
2277,4160,4
773,182,3
1314,4189,5
464,2886,4
1089,76,5
535,1376,4
2146,2690,5
724,4213,5
196,4300,5
1319,3617,5
599,4293,5
2471,2012,4
387,1947,5
610,174,5
5,2788,5
672,1476,5
2651,3253,5
2385,4801,5
2294,3956,5
528,3763,5
2784,4354,5
71,249,5
1288,3377,4
1090,4148,4
805,2028,5
1331,2912,5
1151,1425,5
1096,3629,4
1937,318,5
2957,4038,3
695,1452,5
1381,1680,5
2728,2992,5
687,2290,5
1086,2371,5
820,786,5
1246,2906,5
2215,4029,5
317,2392,5
1216,2465,3
2602,4954,4
2371,1555,5
897,1846,5
1644,2482,4
1045,2603,5
2823,1337,4
1829,3291,5
2094,4075,4
1233,4643,4
108,2613,5
2690,4795,4
418,3865,5
709,1370,5
318,1138,3
1076,3740,5
1827,2324,5
2734,1890,5
2181,4926,5
1934,3097,5
2429,4283,5
1221,2418,5
2646,366,5
2907,2748,5
1493,4497,5
1947,1217,4
1714,1348,4
2402,4013,5
1926,247,4
547,2659,4
2597,1177,5
70,943,5
1788,3873,4
1241,311,4
615,2718,5
1117,2883,4
1240,1108,5
484,2917,5
2066,1291,5
1202,1265,5
2818,3762,5
2696,2759,4
1172,388,5
2382,3433,5
1390,4123,4
2636,1678,5
1502,277,5
465,1971,3
1724,107,5
2285,4234,5
825,4074,5
2035,3655,4
2422,4843,4
1411,2453,5
996,1827,3
2512,4175,5
1542,1004,5
2166,1979,5
1283,4624,4
1441,4674,5
2418,657,5
2963,576,5
2710,4854,5
2140,436,5
1339,601,5
1489,3696,5
1373,2924,5
932,3568,4
1420,3958,4
6,9,5
1174,4273,5
1999,2725,5
2213,1019,4
2694,4241,5
1940,1800,5
2713,3159,5
1976,4479,3
732,1862,4
1901,4291,5
2204,2256,4
1957,1916,5
1003,3815,5
1692,2812,5
201,4550,5
2055,1331,5
1316,792,4
172,2334,5
2447,996,5
1435,2175,5
1625,2019,5
1465,3472,3
1256,2673,5
1302,1840,5
2093,4030,5
1543,3429,5
1473,4719,5
160,846,5
1550,4129,3
797,2852,5
1089,4976,4
1856,1834,3
196,1358,4
2705,668,5
2298,579,4
687,4079,5
693,4860,4
110,3745,5
1757,3565,5
2332,2482,5
1607,1299,5
1573,1452,5
585,4046,4
2085,4998,5
2150,800,5
1722,2340,5
2463,1151,4
143,1173,5
1994,22,5
565,2382,4
2555,3552,4
1192,4793,4
2027,355,5
274,2127,5
1485,1628,4
112,4947,5
2898,2896,4
791,3655,4
371,2115,4
2186,888,5
2259,4056,4
333,3556,5
1693,1605,4
2958,1531,5
355,3559,5
687,401,5
99,250,5
146,4980,5
2234,3347,4
2528,1087,5
2849,2112,5
891,4024,5
2833,3323,4
506,2808,4
369,1424,3
2329,4301,5
1658,676,5
1996,4908,4
2186,2959,5
516,4073,5
1185,2104,5
2847,4966,4
2408,912,3
1448,2118,5
1593,2931,5
798,2925,3
195,1511,5
2610,4876,4
502,1792,5
2248,4604,4
2737,4816,5
1496,1574,3
2697,3837,5
517,2935,4
908,3605,5
1215,2752,4
456,2511,5
1003,1086,5
84,1170,4
1942,2911,5
1834,1810,5
2816,3501,5
1618,2189,5
275,3198,4
2186,4239,5
515,428,5
1174,3353,5
2460,1556,5
1597,3944,5
1370,3089,4
1870,2444,5
255,3926,4
1545,3553,5
398,968,5
1717,3571,5
1138,4822,5
54,1064,5
2313,1753,5
1429,4060,4
2385,1510,5
506,4397,5
1102,1345,4
2425,4272,5
777,1958,4
2630,847,3
546,688,5
906,2466,3
660,2747,5
464,1471,5
1641,1876,4
579,729,5
1689,4410,4
2441,3875,5
115,3110,5
2418,3717,4
1179,2529,5
1878,2146,5
2417,2833,3
573,3374,5
2440,2792,5
196,4424,5
570,2457,4
1657,2205,4
952,216,4
2483,4373,4
1601,2992,5
1073,1723,5
2397,2868,5
584,2100,5
1661,3001,5
176,622,5
2109,3757,4
1212,2413,5
1536,991,5
1432,240,5
2405,32,5
616,178,3
193,3428,4
1474,4234,4
2871,1689,5
1324,1079,5
1032,3495,5
2509,1878,5
2708,824,3
2888,444,5
2196,2302,5
961,737,4
1419,2098,4
1505,1781,5
1759,2636,3
2857,2654,5
273,2347,4
1359,708,5
1655,1924,5
2964,2082,4
2202,2867,4
693,4517,5
2540,4564,4
35,1183,5
2962,2744,3
2815,2153,5
322,1784,5
594,1429,5
1310,2067,5
1617,2550,5
1888,2388,5
2921,1684,5
32,201,5
804,3118,5
2656,3538,5
495,249,4
2877,1862,4
1855,243,5
1102,4104,5
765,2214,5
909,4398,5
2761,1069,5
2980,4220,4
2772,829,5
640,127,5
561,4286,5
1125,3436,5
20,1748,5
1683,1893,5
2144,3419,5
1672,1718,4
2798,1236,5
2256,333,5
198,3760,4
519,1189,5
746,917,5
802,1121,5
337,2508,5
2807,4507,5
1246,3572,5
1923,1095,4
2236,4081,5
2195,759,3
1549,4600,5
2916,2954,5
2301,3785,5
2606,493,5
2740,1445,5
2225,2884,4
24,584,5
1574,280,5
1255,2260,5
2827,2496,5
121,1328,4
1029,2322,5
1682,4238,5
1275,2917,4
2414,1971,5
2465,4202,5
1753,38,5
2476,628,4
2175,4370,5
283,2942,5
28,4345,4
623,134,5
2539,2968,5
2284,3974,5
1437,182,4
442,2496,5
810,1209,4
562,1332,5
227,1558,4
2200,641,4
697,1343,5
534,2452,5
896,1025,5
248,2382,4
1609,4991,4
1179,2748,5
636,2801,5
1379,502,5
958,1132,5
69,1173,5
1903,4369,5
1810,4386,4
2866,2036,5
1284,2948,3
2937,297,3
2455,3514,4
915,4745,5
1794,4106,5
1655,246,5
322,4741,3
1250,659,4
120,3495,4
637,3876,5
459,4687,5
2279,4847,4
2527,3463,3
499,3858,5
332,4930,5
2629,757,5
1166,601,4
1525,4755,5
325,3716,5
1690,1138,5
1822,3841,3
1968,1536,5
2789,1677,5
203,794,4
1865,4181,5
2553,2208,4
994,2596,3
576,3489,5
1334,178,4
727,847,5
776,1379,5
2496,2616,5
2507,326,5
1654,1919,4
794,976,5
2656,3888,5
2797,4707,4
862,3455,4
1100,238,5
2036,4668,5
683,423,5
2901,4969,5
2272,3611,5
1426,961,4
2811,3786,5
2781,56,4
1829,411,5
1814,1088,4
1818,4948,3
2587,2791,5
2329,766,5
586,4455,5
1428,4866,3
122,1192,5
832,772,3
1970,3944,4
1635,4479,5
838,861,4
1752,2844,5
329,1625,5
935,585,5
328,1821,5
2699,2175,4
2647,2824,4
214,228,4
2245,2021,3
1159,4164,5
715,2763,4
632,1958,3
1744,3390,5
671,2868,5
635,4608,5
2991,3550,5
1522,2275,5
1346,4172,4
367,4480,5
133,3430,5
2666,4416,5
1511,3321,4
865,2179,3
1373,3474,3
2456,688,4
294,1082,5
1951,481,5
2550,1311,5
268,3034,4
2911,1768,5
1130,4108,4
1382,2875,5
1622,2146,5
392,2981,5
2326,3911,4
2307,3682,4
1654,2947,5
2808,1059,5
358,3685,5
2721,3170,5
458,2878,3
2219,237,5
1080,4978,4
300,4233,5
593,869,5
272,1986,4
902,4290,5
2556,4183,4
900,2714,3
123,4618,3
2191,4880,5
2571,4353,5
235,596,4
1923,270,5
839,1151,5
1010,1392,4
2332,2516,5
1863,1080,4
2662,3734,4
842,2741,5
2721,4288,4
1155,3287,5
1692,1826,3
1431,1940,4
1278,1446,5
711,2812,5
63,4900,3
2466,3078,5
2219,4671,5
1631,538,3
753,520,3
1374,2069,5
1928,1351,3
2384,1407,4
2098,617,4
2180,1061,3
1748,2508,5
516,4364,4
2039,4456,5
2144,765,4
2150,4528,5
2079,4301,5
290,982,5
2787,2799,4
1281,4630,5
394,4453,5
2950,2127,4
1137,4936,4
2649,567,3
376,4840,5
178,3046,4
1231,4882,5
2168,2226,5
1476,1144,5
236,2097,5
206,2181,5
943,2814,5
382,2829,5
2125,923,5
2233,3571,5
2198,197,4
2809,1553,5
2887,2210,5
1640,1417,5
103,1556,4
2167,726,5
980,2784,3
978,902,5
2269,1838,4
283,3349,4
1196,3213,4
1031,499,5
854,1611,4
321,674,5
2305,3304,5
1858,896,5
411,1257,3
1098,133,5
275,2370,5
239,1279,5
38,2256,4
2787,4743,4
959,2177,4
1167,2608,5
551,3931,3
65,3141,5
2247,3204,5
363,935,5
880,4606,3
888,3809,3
2775,4010,5
950,3435,3
1712,131,5
1349,103,4
2533,4773,3
679,3692,5
2780,3462,3
1408,4000,4
53,2826,5
591,2136,5
2237,3217,5
1306,1405,3
1512,4153,4
1359,1735,5
1605,3242,4
328,1252,5
1483,1151,5
2709,4690,4
1866,1186,5
752,2707,5
1830,2207,5
299,1283,5
2042,4125,5
2965,4174,5
766,718,5
2112,1572,5
2511,3928,5
492,4322,4
2724,1977,5
1376,795,4
1973,4025,5
1742,2666,5
853,2030,5
2431,2915,4
1223,3834,4
2687,381,4
758,1592,5
1333,3750,5
2697,535,3
2738,1885,5
1966,2870,5
2459,1477,5
720,1840,5
1386,4090,5
2443,4143,4
1886,765,4
672,558,5
491,2431,5
677,3904,5
375,1038,5
1180,235,4
2978,3155,4
971,2314,5
2648,3293,3
539,2346,5
859,1043,3
2389,1808,4
1884,3822,4
1781,2562,5
1223,3456,5
1210,3163,5
2188,306,5
2735,2679,5
396,3313,5
2851,1740,4
146,1586,3
385,3747,3
2024,1974,4
1879,4853,3
1141,2295,3
488,3763,4
1883,105,4
597,4743,5
2252,3473,4
2655,3015,5
921,3541,4
2643,2898,5
2900,1489,3
1841,284,4
1705,3030,5
2647,627,4
2452,4386,4
1134,1865,5
984,3000,4
1121,1907,5
771,9,5
593,3527,4
425,4903,5
896,2163,3
677,4233,5
2298,554,4
1475,169,3
621,3910,5
1591,625,4
2541,4423,3
2315,1392,4
23,1618,5
416,1656,3
903,4982,4
763,3642,5
2009,2524,4
1661,4562,5
284,3072,5
2861,3760,4
934,2637,4
36,1120,5
465,590,5
392,4304,5
653,4145,5
2945,3169,4
2406,1825,5
2299,2835,4
719,4858,5
1207,2014,4
2619,695,5
215,904,5
1907,4712,5
1903,4772,4
890,1519,4
1005,3866,4
601,3899,5
2989,1076,4
1510,4177,5
2508,674,5
1283,543,5
763,3823,5
2665,754,5
2476,4235,5
2767,694,5
1058,2308,5
957,635,4
2764,1871,5
435,3682,5
324,3887,5
1072,4484,4
2684,2167,4
1816,384,5
1376,4775,4
21,617,5
159,2658,4
1407,306,4
59,1599,5
2722,2921,5
871,1334,5
1087,1110,3
1756,2526,4
899,1329,4
1260,3650,5
1000,414,5
1747,782,4
654,4484,4
895,4827,5
1158,4237,4
780,2556,5
2368,231,5
505,3018,5
11,60,5
1240,2889,5
2432,840,4
1198,4874,5
2735,525,4
263,4457,5
2336,2122,4
2814,1123,5
2676,168,4
246,976,4
2568,2363,4
968,190,5
2679,808,5
2116,4781,5
2110,995,4
2947,415,5
700,881,5
427,1807,5
531,652,4
316,2253,5
2342,174,4
2222,3763,4
537,2174,5
982,1149,5
538,3969,5
2730,2371,4
257,1223,4
974,20,4
1484,789,5
863,2190,5
528,1970,5
2654,923,4
2132,3681,5
1233,43,4
249,2110,5
1878,614,5
1919,867,4
2706,1509,5
1363,4171,5
2128,4962,4
2129,998,5
2691,4412,5
1095,2688,5
2963,4651,4
1382,1853,3
1945,4717,4
479,1561,5
2106,3159,4
606,4303,3
1782,2254,4
2717,4936,4
2707,3021,4
1273,3197,5
2259,1821,5
2986,1497,5
2840,2684,5
1281,1527,3
503,445,5
2463,1541,3
2414,1210,5
720,2133,5
1480,1962,4
412,4715,4
274,2651,4
1592,4034,3
2190,1189,5
1070,4231,3
908,3918,5
2723,2351,4
1824,3574,5
1078,4915,3
2460,2886,5
2900,1273,5
2308,1197,4
653,3500,5
329,1350,3
456,1604,3
574,4875,3
2231,2783,5
606,4844,5
2375,2520,4
1547,1970,5
2155,2157,4
543,3873,5
999,2268,4
2979,3507,4
1912,4714,5
1188,4319,5
629,2515,5
1606,4609,5
1542,1317,5
1176,123,3
276,4445,5
108,2467,5
262,157,4
1458,3211,4
2628,3449,3
1358,1346,5
2339,1689,5
2830,2899,4
2604,205,5
2892,4486,5
1946,1821,5
466,3908,4
2024,3052,5
1486,1242,5
845,9,3
1114,2475,4
2476,565,5
938,4403,5
2134,3183,4
546,1862,3
1538,3450,5
794,4186,4
1901,2312,4
1994,1992,4
61,2138,5
1347,3133,5
236,1059,4
2867,4378,4
112,3227,5
2515,4377,5
1404,1351,4
143,2005,5
639,2800,5
660,414,4
846,1362,4
487,2491,4
2571,4454,5
2058,4541,3
1143,1726,5
2585,1795,4
315,4136,5
2790,384,5
164,1087,4
2468,3954,5
1029,2418,5
2333,4577,5
1627,2915,3
2215,3487,4
2617,2144,5
968,2814,5
137,3169,4
2853,282,5
473,1784,3
235,821,4
156,105,5
2346,4013,4
1599,342,5
142,2693,5
531,2069,4
1953,2689,5
389,1759,5
1360,4768,4
969,4842,5
1118,53,5
2498,4112,5
1484,1257,5
2481,4177,5
1645,1659,5
2530,4971,5
1274,2108,5
2387,2149,5
1183,1598,5
2272,2557,5
2395,4042,5
526,1279,3
46,4476,5
1154,1270,5
323,1089,4
612,3765,3
2432,3379,5
1160,1944,5
2801,3780,3
2808,1897,5
295,4242,3
1374,3591,5
728,1812,5
228,4797,4
596,2322,5
646,974,4
2855,3270,4
1290,662,5
2521,4137,4
1839,2682,3
2894,3595,5
983,1272,5
283,747,5
1851,444,5
1740,1846,4
1179,610,5
65,669,3
2979,63,5
628,1888,4
66,2549,5
1516,4,3
833,943,5
936,1161,5
383,2810,5
328,430,4
1631,3947,5
2556,4512,4
2452,2003,5
1627,2853,3
65,4737,4
1838,551,5
1641,4089,5
2234,496,3
2665,3318,5
1930,3631,4
1357,1934,5
725,4863,5
2437,14,4
1184,4406,5
527,2269,5
875,4700,5
1062,3849,4
1788,960,5
2098,928,5
960,916,5
1536,3474,5
2941,4195,5
106,4442,5
1214,1557,4
2141,219,4
772,626,4
164,2019,5
776,99,5
2896,1567,5
834,4873,5
2721,3313,5
2981,602,5
2163,4140,5
309,3295,4
2182,2221,5
2198,4921,4
793,1464,5
2319,621,4
2010,4216,5
1965,3054,5
1800,4510,4
2335,3980,5
2528,2248,5
628,3070,4
2024,4341,5
2857,2670,5
118,708,4
1349,721,5
330,2984,4
2507,1732,5
700,880,5
98,3277,5
2898,2980,5
196,365,5
2674,467,3
1389,1571,3
2214,1,5
219,3288,5
2368,1659,4
77,831,3
2076,765,5
2723,2645,3
2086,428,4
1577,3837,5
2959,1968,4
1583,4755,5
1910,2230,4
538,985,5
776,2065,5
1413,2948,5
952,1586,4
2976,196,3
2266,1198,3
1770,2541,4
967,2744,4
770,304,5
1850,4150,5
1356,3891,5
665,1805,3
1647,1949,5
1687,159,5
426,678,4
1352,1044,4
581,1905,5
2964,1125,5
2421,3118,5
2032,4978,5
2190,3746,4
1259,495,3
139,2480,5
1462,4278,4
997,921,5
1971,984,4
1634,4708,5
69,3851,5
988,953,4
1424,750,5
1889,3577,5
481,113,4
2219,727,5
391,3286,5
2428,853,5
975,1669,5
1396,861,3
2624,2021,5
945,2639,5
149,256,5
2804,4506,4
1112,1945,5
43,749,5
2247,352,5
2308,4096,5
2361,1125,5
2186,1372,3
1649,3301,5
1324,4609,5
462,4517,5
436,453,5
2689,38,5
2054,1386,3
2010,1887,4
1502,4053,4
777,4894,3
262,3151,4
715,2826,4
1085,3640,5
2161,217,5
1125,105,3
248,509,4
2028,4932,4
1299,2440,3
827,2987,4
2508,930,5
1095,4522,5
254,812,5
2891,3452,5
1709,4240,5
2501,979,5
2534,807,5
661,2282,5
1760,1418,5
1100,427,5
929,4367,5
2980,79,4
1548,1472,5
2535,1671,4
485,4032,5
2850,4296,5
201,3285,5
2833,1305,5
1142,618,5
1772,3810,4
2715,4618,5
1418,1948,4
2523,3313,5
1027,308,4
1742,3712,5
715,590,5
2690,3120,4
884,2718,5
178,4709,4
1945,1041,5
2140,240,5
2090,3558,4
2726,1715,5
1499,4892,5
2182,2104,5
1621,1450,5
2774,3644,3
186,4409,5
1634,2716,4
1024,2841,5
2198,4890,4
92,2701,5
2044,4769,5
1284,4823,5
2810,4854,3
1529,3746,4
2944,4307,5
2838,4227,5
22,3281,5
3,2200,5
2507,4046,4
145,439,5
759,172,5
1140,2744,4
1573,695,5
222,3861,4
1540,13,3
682,3495,3
2425,1445,3
1197,2578,5
1459,297,4
312,4889,5
2675,3628,5
2799,4977,5
846,4477,4
167,2063,5
1695,3126,5
186,3592,4
2728,3259,5
670,4790,5
1397,4018,4
2868,184,5
387,1656,5
1662,3865,5
1818,4055,5
1459,4136,5
1441,2296,4
466,1940,5
160,1099,5
2929,3347,3
1359,1490,5
411,716,5
2688,243,4
412,1165,3
1159,2569,3
2885,2407,4
2625,3415,5
1462,510,4
332,4308,3
145,1466,5
176,3130,4
1507,1415,5
2046,3799,5
